Formula,ID,Description,road,brakes,tires,LightPM,LightVOC,HeavyPM,HeavyVOC,LightEvap,HeavyEvap
C3H6O,ACET,0,0,0,0,0,1.11002725921474,0,2.17834494039322,0,0
C3H4O,ACROLEIN,0,0,0,0,0,0.6756493721707,0,1.1888250123779,0,0
C2H4O,ALD2,0,0,0,0,0,3.16768745060264,0,8.75997643358722,0,0
C2H4O,ALD2_PRIMARY,acetaldehyde from emissions only,0,0,0,0,3.16768745060264,0,8.75997643358722,0,0
ALDX,ALDX,aldehydes with 3 or more carbons,0,0,0,0,0,0,0,0,0
C6H6,BENZ,0,0,0,0,0,4.93657581445979,0,1.14161746352404,1.5325,0.549581255194806
C4H6,BUTADIENE13,0,0,0,0,0,0.294527244190255,0,0.421415974521358,0,0
CH4,CH4,0,0,0,0,0,24.1679216264,0,111.608056904651,0.04,0
CH4,CH4_INV,0,0,0,0,0,24.1679216264,0,111.608056904651,0.04,0
CL2,CL2,molecular chlorine,0,0,0,0,0,0,0,0,0
CO,CO,0,0,0,0,0,0,0,0,0,0
CO2,CO2_INV,0,0,0,0,0,0,0,0,0,0
C2H4,ETH,0,0,0,0,0,7.30579781788176,0,8.17677948839596,1.1,0
C2H6,ETHA,0,0,0,0,0,3.56228548199556,0,4.62394316452362,0.39,0.355105822727273
C2H2,ETHY,0,0,0,0,0,1.8584498365085,0,1.51817660113687,0.84,0
C2H6O,ETOH,0,0,0,0,0,10.5494829724556,0,0,0,0
CH2O,FORM,0,0,0,0,0,3.78894032008884,0,12.6974275849087,0,0
CH2O,FORM_PRIMARY,0,0,0,0,0,3.78894032008884,0,12.6974275849087,0,0
HCL,HCL,0,0,0,0,0,0,0,0,0,0
HNO2,HONO,0,0,0,0,0,0,0,0,0,0
IOLE,IOLE,0,0,0,0,0,0,0,0,0,0
C5H8,ISO,0,0,0,0,0,0.110152075665065,0,0.0835711507,0.44,0.115583901298701
KET,KET,0,0,0,0,0,0,0,0,0,0
CH4O,MEOH,0,0,0,0,0,0,0,0,0,0
N2O,N2O_INV,0,0,0,0,0,0,0,0,0,0
C10H8,NAPH,0,0,0,0,0,0.686785778151636,0,0.19352447048158,0,0.210620075324675
NH3,NH3,0,0,0,0,0,0,0,0,0,0
NH3,NH3_FERT,0,0,0,0,0,0,0,0,0,0
NO,NO,0,0,0,0,0,0,0,0,0,0
NO2,NO2,0,0,0,0,0,0,0,0,0,0
NVOL,NVOL,non‐volatilespecies,0,0,0,0,0,0,0,0,0
OLE,OLE,terminal alkene bond,0,0,0,0,0,0,0,0,0
Al,PAL,aluminum,5.6027,0.02,0.06,0.3239604932,0,0.074701652,0,0,0
PAR,PAR,carbon-carbon single bond,0,0,0,0,0,0,0,0,0
Ca,PCA,calcium,2.3072,0.08,0.11,1.443073288,0,0.466939300666666,0,0,0
Cl,PCL,chloride,0.2204,0,0.78,0.1044035144,0,0.181099763666667,0,0,0
C,PEC,Elemental carbon,2.228,0.43,22,14.0004,0,45.1200003113333,0,0,0
Fe,PFE,iron,5.2215,33.45,0.46,1.827921498,0,0.370989943333333,0,0,0
PH2O,PH2O,water,0,0,0,0,0,0,0,0,0
K,PK,potassium,0.9758,0.01,0.04,0.085139604,0,0.109705488,0,0,0
PM10,PMC,Coarse mode primary PM ,0,0,0,0,0,0,0,0,0
Mg,PMG,magnesium,0.1509,0.42,0.04,0.1445653276,0,0.093775054666667,0,0,0
Mn,PMN,manganese,0.0989,0.1376,0.01,0.0239078888,0,0,0,0,0
PMOTHR,PMOTHR,Unspeciated PM2.5,0,0,0,0,0,0,0,0,0
Na,PNA,Fine mode sodium ,0.7187,0.05,0.06,0.039129818,0,0.442928176666666,0,0,0
PNCOM,PNCOM,non-­‐carbon organic matter,0,0,0,0,0,0,0,0,0
H4N,PNH4,ammonium,0.2083,0,0.02,2.7789910744,0,1.0485894,0,0,0
NO3,PNO3,nitrate,0,0,0.15,0.2887006572,0,0.71587115,0,0,0
OC,POC,Organic carbon,0,0,0,0,0,0,0,0,0
C3H8,PRPA,propane,0,0,0,0,0.645921012780617,0,2.03020291576065,0.8925,0.785985792857143
Si,PSI,silica,19.5749,0,0.12,0.3239604932,0,0.201137123333333,0,0,0
O4S,PSO4,sulfate,0.2925,0,0,7.1872445708,0,22.0667219,0,0,0
Ti,PTI,titanium,0.462,0.0388,0.04,0.0340558416,0,0.011458043666667,0,0,0
SO2,SO2,0,0,0,0,0,0,0,0,0,0
SOAALK,SOAALK,tracer for alkanes that can form secondary organic aerosol,0,0,0,0,0,0,0,0,0
H2SO4,SULF,sulfuric acid (gaseous),0,0,0,0,0,0,0,0,0
C10H16,TERP,monoterpenes,0,0,0,0,0.022571495765,0,0.038306021651308,0,0
C7H8,TOL,toluene and other monoalkyl aromatics,0,0,0,0,5.39717511806482,0,1.61987906944625,6.2775,1.5940398448052
UNK,UNK,0,0,0,0,0,0,0,0,0,0
UNR,UNR,"Unreactivecarbongroups(e.g.,halogenatedcarbons)",0,0,0,0,0,0,0,0,0
VOC,VOC_INV,0,0,0,0,0,0,0,0,0,0
C8H10,XYLMN,xylene and other polyalkyl aromatics except naphthalene,0,0,0,0,1.06903250214995,0,0.59496811725638,1.215,3.36332832012987
