hour,hourdis
0,0.014771048744461
1,0.00738552437223
2,0.003692762186115
3,0.003692762186115
4,0.003692762186115
5,0.00738552437223
6,0.029542097488922
7,0.062776957163959
8,0.062776957163955
9,0.059084194977844
10,0.059084194977844
11,0.062776957163959
12,0.06056129985229
13,0.059084194977844
14,0.059084194977844
15,0.059822747415067
16,0.059822747415067
17,0.073855243722304
18,0.073855243722304
19,0.059084194977844
20,0.044313146233383
21,0.029542097488922
22,0.029542097488922
23,0.014771048744461
